site,data.source,day,month,year,section,distance.m,ch.spawn,ch.hold,ch.live.total,ch.live.est,reliability,pi.spawn,pi.hold,pi.live.total,pi.live.est,reliability,co.live.total,co.live.est,reliability,so.live.total,so.live.est,reliability,ch.bear,ch.wolf,ch.senes,ch.unknown,ch.dead.total,ch.dead.est,pi.bear,pi.wolf,pi.senes,pi.unknown,pi.dead.total,pi.dead.est,co.dead total,co.dead.est,Pink.active.spawning,Chum.active.spawning,Coho.active.spawning,Fish.countability,Sky.brightness,Windy,Precipitation.type,Precipitation.intensity,Bankfull,Water.colour,Stream.visibility,Rational.estimated.live,Rational.estimated.dead,NOTES
Trap North,SFU,13,10,2006,total,,,,84,,,,,1,,,0,,,,,,,,,,300,,,,,,0,,0,,,,,,,,,,,,,,,
Spiller Trib.#1,SFU,9,10,2007,total,100,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,End,End,,,Bright,No,None,,Below Normal,DTDT,High,,,
Neekas Inlet Cr.,SFU,9,10,2007,total,100,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,1,1,2,0,0,0,0,0,,0,,End,End,,Excellent,Bright,No,None,,Normal,DTDT,,,,
Mosquito Right,SFU,9,10,2007,1,,0,4,4,10,,0,8,8,15,,0,,,0,,,0,0,0,10,10,15,0,0,0,3,3,8,0,,End,End,,Good,Bright,No,None,,Normal,DTDT,High,,,Mainstream lower section to fork
Mosquito Right,SFU,9,10,2007,2,600,6,0,6,10,,3,0,3,5,,0,,,0,,,0,0,0,92,92,110,0,0,0,25,25,30,0,,End,End,,Good,Bright,No,None,,Normal,DTDT,High,,,
Mosquito Right,SFU,9,10,2007,total,600,6,4,10,20,,3,8,11,20,,0,,,0,,,0,0,0,103,103,127,0,0,0,28,28,38,0,,End,End,,Good,Bright,No,None,,Normal,DTDT,High,,,
Mosquito Left,SFU,9,10,2007,total,400,0,0,0,,,3,0,3,5,,0,,,0,,,0,0,0,31,31,40,0,0,0,65,65,80,0,,End,End,,Good,Bright,No,None,,Normal,DTDT,High,,,
Kill Creek,SFU,8,10,2007,total,350,25,0,25,40,,6,0,6,15,,0,,,0,,,0,0,0,216,216,250,0,0,0,24,24,50,0,,End,End,,Good,Full,No,None,,Normal,DTDT,,,,
Bullock Coldwell (Bullock #5),SFU,8,10,2007,total,150,8,0,8,12,,0,0,0,5,,0,,,0,,,0,0,0,65,65,80,0,0,0,2,2,5,0,,End,End,,Good,Full,No,None,,Normal,Clear,High,,,
Roscoe Trib #1,SFU,8,10,2007,total,200,9,0,9,20,,33,0,33,50,,0,,,0,,,0,0,0,1,1,5,0,0,0,9,9,12,0,,End,End,,Good,Full,No,None,,Normal,Clear,High,,,
Lee,SFU,8,10,2007,total,,28,0,28,40,,11,8,19,35,,0,,,0,,,0,0,0,39,39,50,0,0,0,15,15,20,0,,End,End,,Good,Full,No,None,,Normal,Clear,High,,,Surveyed to limit to chum
Latch,SFU,8,10,2007,total,,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,End,End,,Good,Bright,No,None,,Normal,Clear,,,,Surveyed to falls
Rainbow,SFU,8,10,2007,total,250,3,0,3,10,,0,0,0,5,,0,,,0,,,0,0,0,17,17,20,0,0,0,1,1,5,0,,End,End,,Poor/Fair,Bright,No,None,,Above Normal,Clear,Low,,,
Spiller Trib.#1,SFU,5,10,2007,total,100,0,1,1,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,3,3,,0,,End,End,,Excellent,Medium,Yes,Rain,Medium,Normal,DTDT,High,,,
Neekas Inlet Cr.,SFU,5,10,2007,total,100,2,0,2,4,,0,0,0,,,0,,,0,,,0,0,0,2,2,4,0,0,0,0,0,,0,,,End,,Good/Excellent,Medium,Yes,Rain,Light,Normal,DTDT,High,,,
Mosquito Right,SFU,5,10,2007,1,,1,3,4,10,,16,10,26,35,,0,,,0,,,0,0,0,11,11,20,0,0,0,20,20,30,0,,End,End,,Good,Medium,No,None,,Normal,DTDT,Medium,,,Mainstream lower section to fork
Mosquito Right,SFU,5,10,2007,2,600,15,0,15,20,,29,0,29,35,,0,,,0,,,0,0,0,202,202,250,0,0,0,117,117,130,0,,End,End,,Good,Medium,No,None,,Normal,DTDT,High,,,
Mosquito Right,SFU,5,10,2007,total,600,16,3,19,30,,45,10,55,70,,0,,,0,,,0,0,0,213,213,270,0,0,0,137,137,160,0,,End,End,,Good,Medium,No,None,,Normal,DTDT,High,,,
Mosquito Left,SFU,5,10,2007,total,400,6,0,6,10,,16,0,16,20,,0,,,0,,,0,0,0,90,90,120,0,0,0,0,0,20,0,,End,End,,Good,Medium,Yes,None,,Normal,DTDT,High,,,
Kill Creek,SFU,4,10,2007,total,400,148,0,148,170,,22,0,22,35,,0,,,0,,,0,0,0,246,246,320,0,0,0,20,20,40,0,,End,End,,Good,Full,No,None,,Normal,DTDT,High,,,
Bullock Coldwell (Bullock #5),SFU,4,10,2007,total,200,30,4,34,40,,3,0,3,10,,0,,,0,,,0,0,0,80,80,100,0,0,0,0,0,20,0,,End,End,,Good,Full,No,None,,Normal,Clear,High,,,
Roscoe Trib #1,SFU,4,10,2007,total,200,35,0,35,50,,169,3,172,200,,0,,,0,,,0,0,0,2,2,4,0,0,0,17,17,20,0,,End,End,,Good,Full,No,None,,Normal,Clear,High,,,
Lee,SFU,3,10,2007,total,300,32,0,32,100,,22,0,22,30,,0,,,0,,,0,0,0,75,75,150,0,0,0,1,1,30,0,,End,End,,Poor,Dark,No,Rain,Medium,Above Normal,DTDT,Low,,,Were only able to survey the lower 300m as water was too high
Latch,SFU,3,10,2007,total,,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,4,4,8,0,0,0,0,0,,0,0,End,End,End,Poor,Medium,No,Rain,Medium,Flood,DTDT,Low,,,
Bullock Coldwell (Bullock #5),SFU,27,9,2007,total,200,190,45,235,240,,2,0,2,,,0,,,0,,,0,0,0,89,89,100,0,0,0,0,0,,0,,,Peak,,Fair/Good,Full,No,None,,Normal,Clear,High,,,
Spiller Trib.#1,SFU,23,9,2007,total,50,0,0,0,,,1,0,1,,,0,,,0,,,0,0,0,1,1,,0,0,0,2,2,,0,,,,,Good,Full,No,None,,Normal,DTDT,Medium,,,
Neekas inlet Cr.,SFU,22,9,2007,total,100,7,0,7,10,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,Start,,,Bright,No,None,,Normal,DTDT,Medium,,,
Mosquito Right,SFU,22,9,2007,1,50,21,0,21,25,,66,0,66,70,,0,,,0,,,0,0,0,2,2,10,0,0,0,7,7,10,0,,Peak,Peak,,Good,Bright,,None,,Above Normal,DTDT,,,,Mainstream lower section to fork
Mosquito Right,SFU,22,9,2007,2,600,110,0,110,120,,141,0,141,150,,0,,,0,,,0,0,0,106,106,150,0,0,0,51,51,70,0,,Peak,Peak,,Good,Bright,No,Rain,Light,Above Normal,DTDT,,,,
Mosquito Right,SFU,22,9,2007,total,600,131,0,131,145,,207,0,207,220,,0,,,0,,,0,0,0,108,108,160,0,0,0,58,58,80,0,,Peak,Peak,,Good,Bright,No,Rain,Light,Above Normal,DTDT,,,,
Mosquito Left,SFU,22,9,2007,total,400,46,0,46,50,,50,0,50,55,,0,,,0,,,0,0,0,49,49,100,0,0,0,27,27,35,0,,Peak,Peak,,Good,Bright,,Rain,Light,Above Normal,DTDT,,,,
Kill Creek,SFU,21,9,2007,total,,248,0,248,350,,9,0,9,20,,0,,,0,,,0,0,0,38,38,50,0,0,0,2,2,5,0,,Peak,Peak,,Good,Bright,No,None,,Above Normal,DTDT,High,,,surveyed to extent of spawning
Latch,SFU,20,9,2007,total,,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,5,5,10,0,0,0,0,0,,0,,,End,,,Medium,No,None,,Normal,Clear,High,,,Surveyed to falls
Rainbow,SFU,20,9,2007,total,250,30,22,52,60,,0,0,0,,,0,,,0,,,0,0,0,31,31,40,0,0,0,0,0,,0,,,Peak,,Good,Bright,No,None,,Normal,Clear,High,,,
Lee,SFU,20,9,2007,total,,157,10,167,200,,19,0,19,25,,0,,,0,,,0,0,0,78,78,150,0,0,0,4,4,10,0,,Peak,Peak,,Good,Medium,No,None,,Normal,Clear,,,,
Roscoe Trib #1,SFU,19,9,2007,total,200,86,15,101,,,474,250,724,,,0,,,0,,,0,0,0,25,25,,0,0,0,25,25,,0,,Start,Peak,,Good,Bright,No,None,,Normal,DTDT,,,,
Latch,SFU,23,9,2008,total,,,,5,,,,,0,,,0,,,0,,,,,,,5,,,,,,0,,0,,,,,,,,,,,,,,,
Troupe North,SFU,16,9,2008,total,,,,0,,,,,0,,,0,,,0,,,,,,,0,,,,,,0,,0,,,,,,,,,,,,,,,
Troupe North,SFU,19,9,2008,total,,,,0,,,,,0,,,0,,,0,,,,,,,0,,,,,,0,,0,,,,,,,,,,,,,,,
Troupe South,SFU,16,9,2008,total,,,,15,,,,,2,,,8,,,0,,,,,,,0,,,,,,0,,0,,,,,,,,,,,,,,,
Troupe South,SFU,2,10,2008,total,,,,7,,,,,0,,,0,,,0,,,,,,,5,,,,,,0,,0,,,,,,,,,,,,,,,
Farm Bay,SFU,13,9,2008,total,,,,0,,,,,0,,,0,,,0,,,,,,,0,,,,,,0,,0,,,,,,,,,,,,,,,
Farm Bay,SFU,16,9,2008,total,,,,0,,,,,0,,,0,,,0,,,,,,,0,,,,,,0,,0,,,,,,,,,,,,,,,
Farm Bay,SFU,2,10,2008,total,,,,0,,,,,0,,,0,,,0,,,,,,,0,,,,,,0,,0,,,,,,,,,,,,,,,
Kunsoot South,SFU,20,9,2008,total,,,,0,,,,,0,,,0,,,0,,,,,,,0,,,,,,0,,0,,,,,,,,,,,,,,,
Kunsoot South,SFU,2,10,2008,total,,,,0,,,,,0,,,0,,,0,,,,,,,0,,,,,,0,,0,,,,,,,,,,,,,,,
Kunsoot North,SFU,20,9,2008,total,,,,0,,,,,0,,,0,,,0,,,,,,,0,,,,,,0,,0,,,,,,,,,,,,,,,
Kunsoot North,SFU,26,9,2008,total,,,,1,,,,,0,,,0,,,0,,,,,,,0,,,,,,0,,0,,,,,,,,,,,,,,,
Kunsoot North,SFU,1,10,2008,total,,,,1,,,,,0,,,0,,,0,,,,,,,0,,,,,,0,,0,,,,,,,,,,,,,,,
Port John,SFU,8,9,2008,total,,,,0,,,,,0,,,0,,,0,,,,,,,0,,,,,,0,,0,,,,,,,,,,,,,,,
Bullock Main,SFU,18,9,2008,total,,,,20,,,,,0,,,0,,,0,,,,,,,8,,,,,,0,,0,,,,,,,,,,,,,,,
Bullock Main,SFU,10,10,2008,estuary,,,,,,,,,,,,0,,,0,,,,,,,91,,,,,,0,,0,,,,,,,,,,,,,,,
Bullock Main,SFU,23,10,2008,estuary,,,,,,,,,,,,0,,,0,,,,,,,112,,,,,,10,,0,,,,,,,,,,,,,,,
Bullock Main,SFU,28,10,2008,total,,,,0,,,,,1,,,0,,,0,,,,,,,0,,,,,,0,,0,,,,,,,,,,,,,,,
Hooknose,SFU,29,9,2008,estuary,,0,50,50,,,0,15,15,,,0,,,0,,,,,,,,,,,,,,,,,,,,Fair,Full,No,None,,Above Normal,DTDT,Medium,,,
Hooknose,SFU,29,9,2008,1,,197,21,118,,,51,7,58,,,0,,,0,,,,,,,67,,,,,,12,,0,,,,,Fair,Full,No,None,,Above Normal,DTDT,Medium,,,
Hooknose,SFU,29,9,2008,total,,197,71,168,300,,51,22,73,80,,0,,,0,,,,,,,67,120,,,,,12,30,0,,,,,Fair,Full,No,None,,Above Normal,DTDT,Medium,,,
Fannie Left,SFU,17,9,2008,total,,,,175,,,,,420,,,0,,,0,,,,,,,12,,,,,,0,,0,,,,,,,,,,,,,,,
Jane,SFU,2,10,2008,total,,,,8,,,,,0,,,0,,,0,,,,,,,2,,,,,,0,,0,,,,,,,,,,,,,,,
Ada,SFU,8,9,2008,total,,,,0,,,,,0,,,0,,,0,,,,,,,0,,,,,,0,,0,,,,,,,,,,,,,,,
Beales Right,SFU,15,9,2009,estuary,0,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,Good,Medium,No,None,,Normal,DTDT,,,,
Beales Right,SFU,15,9,2009,1,94,0,0,0,,,12,91,103,,,0,,,0,,,0,0,0,0,0,,0,0,7,4,11,,0,,,,,Good,Medium,No,None,,Normal,DTDT,,,,
Beales Right,SFU,15,9,2009,2,190,2,8,10,,,2,18,20,,,0,,,0,,,0,0,0,0,0,,5,0,5,1,11,,0,,,,,Good,Medium,No,None,,Normal,DTDT,,,,
Beales Right,SFU,15,9,2009,3,270,2,3,5,,,0,17,17,,,0,,,0,,,0,0,0,0,0,,1,0,2,0,3,,0,,,,,Good,Medium,No,None,,Normal,DTDT,,,,
Beales Right,SFU,15,9,2009,total,270,4,11,15,18,,14,126,140,150,,0,,,0,,,0,0,0,0,0,,6,0,14,5,25,,0,,,,,Good,Medium,No,None,,Normal,DTDT,,,,
Beales Left,SFU,15,9,2009,estuary,0,0,46,46,,,400,800,1200,,,0,,,0,,,0,0,3,0,3,,0,0,22,0,22,,0,,Start,Peak,,Excellent,Medium,No,None,,Very Low,Clear,High,,,Estuary count includes estuary shared with Beales Right
Beales Left,SFU,15,9,2009,1,100,0,0,0,,,15,57,72,,,0,,,0,,,0,1,0,0,1,,4,5,1,0,10,,0,,Start,Peak,,Excellent,Medium,No,None,,Very Low,Clear,High,,,
Beales Left,SFU,15,9,2009,2,200,0,3,3,,,90,102,192,,,0,,,0,,,0,0,3,3,6,,5,11,16,3,35,,0,,Start,Peak,,Excellent,Medium,No,None,,Very Low,Clear,High,,,
Beales Left,SFU,15,9,2009,3,300,0,34,34,,,60,166,226,,,0,,,0,,,8,1,12,1,22,,13,1,37,0,51,,0,,Start,Peak,,Excellent,Medium,No,None,,Very Low,Clear,High,,,
Beales Left,SFU,15,9,2009,4,335,0,2,2,,,0,17,17,,,0,,,0,,,0,0,0,0,0,,5,1,2,0,8,,0,,Start,Peak,,Excellent,Medium,No,None,,Very Low,Clear,High,,,
Beales Left,SFU,15,9,2009,total,335,0,85,85,88,,565,1142,1707,1720,,0,,,0,,,8,2,18,4,32,,27,18,78,3,126,,0,,Start,Peak,,Excellent,Medium,No,None,,Very Low,Clear,High,,,
Codville,SFU,17,9,2009,estuary,0,0,0,0,,,0,75,75,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,Start,Start,,Excellent,Medium,No,None,,Normal,DTDT,Medium,,,
Codville,SFU,17,9,2009,1,60,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,Start,Start,,Excellent,Medium,No,None,,Normal,DTDT,Medium,,,
Codville,SFU,17,9,2009,2,130,0,0,0,,,11,0,11,,,0,,,0,,,0,0,0,0,0,,1,0,0,0,1,,0,,Start,Start,,Excellent,Medium,No,None,,Normal,DTDT,Medium,,,
Codville,SFU,17,9,2009,3,200,0,0,0,,,5,0,5,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,Start,Start,,Excellent,Medium,No,None,,Normal,DTDT,Medium,,,
Codville,SFU,17,9,2009,4,255,0,0,0,,,0,1,1,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,Start,Start,,Excellent,Medium,No,None,,Normal,DTDT,Medium,,,
Codville,SFU,17,9,2009,total,255,0,0,0,,,16,76,92,100,,0,,,0,,,0,0,0,0,0,,1,0,0,0,1,,0,,Start,Start,,Excellent,Medium,No,None,,Normal,DTDT,Medium,,,
Troupe North,SFU,18,9,2009,estuary,0,0,0,0,,,0,0,0,,,10,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,Before,,,Fair,Dark,No,Rain,Heavy,Flood,DTDT,Medium,,,
Troupe North,SFU,18,9,2009,1,60,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,Before,,,Fair,Dark,No,Rain,Heavy,Flood,DTDT,Medium,,,
Troupe North,SFU,18,9,2009,2,120,0,0,0,,,0,0,0,,,4,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,Before,,,Fair,Dark,No,Rain,Heavy,Flood,DTDT,Medium,,,
Troupe North,SFU,18,9,2009,3,180,0,0,0,,,0,0,0,,,4,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,Before,,,Fair,Dark,No,Rain,Heavy,Flood,DTDT,Medium,,,
Troupe North,SFU,18,9,2009,4,240,0,0,0,,,0,0,0,,,1,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,Before,,,Fair,Dark,No,Rain,Heavy,Flood,DTDT,Medium,,,
Troupe North,SFU,18,9,2009,5,300,0,0,0,,,0,0,0,,,1,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,Before,,,Fair,Dark,No,Rain,Heavy,Flood,DTDT,Medium,,,
Troupe North,SFU,18,9,2009,6,360,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,Before,,,Fair,Dark,No,Rain,Heavy,Flood,DTDT,Medium,,,
Troupe North,SFU,18,9,2009,7,420,0,0,0,,,0,0,0,,,1,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,Before,,,Fair,Dark,No,Rain,Heavy,Flood,DTDT,Medium,,,
Troupe North,SFU,18,9,2009,8,450,0,0,0,,,0,0,0,,,5,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,Before,,,Fair,Dark,No,Rain,Heavy,Flood,DTDT,Medium,,,
Troupe North,SFU,18,9,2009,total,450,0,0,0,,,0,0,0,,,26,35,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,Before,,,Fair,Dark,No,Rain,Heavy,Flood,DTDT,Medium,,,
Troupe South,SFU,18,9,2009,estuary,0,0,8,8,,,0,120,120,,,0,,,0,,,0,0,0,0,0,,1,0,0,0,1,,0,,Start,Peak,Peak,Poor,Dark,Yes,Rain,Heavy,Flood,DTDT,,,,
Troupe South,SFU,18,9,2009,1,70,0,2,2,,,0,17,17,,,0,,,0,,,3,0,0,0,3,,0,0,0,1,1,,0,,Start,Peak,Peak,Poor,Dark,Yes,Rain,Heavy,Flood,DTDT,,,,
Troupe South,SFU,18,9,2009,2,120,0,0,0,,,0,24,24,,,0,,,0,,,0,0,0,0,0,,0,0,0,2,2,,0,,Start,Peak,Peak,Poor,Dark,Yes,Rain,Heavy,Flood,DTDT,,,,
Troupe South,SFU,18,9,2009,3,195,0,0,0,,,0,13,13,,,3,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,Start,Peak,Peak,Poor,Dark,Yes,Rain,Heavy,Flood,DTDT,,,,
Troupe South,SFU,18,9,2009,total,195,0,10,10,20,,0,174,174,200,,3,8,,0,,,3,0,0,0,3,,1,0,0,3,4,,0,,Start,Peak,Peak,Poor,Dark,Yes,Rain,Heavy,Flood,DTDT,,,,
Fannie Left,SFU,21,9,2009,estuary,0,0,50,50,,,800,5710,6510,,,0,,,0,,,0,2,3,0,5,,16,14,26,0,56,,0,,Before/Start,Peak,Before/Start,Fair,Medium,No,Rain,Light,Flood,DTDT,Medium,,,
Fannie Left,SFU,21,9,2009,1,200,8,17,25,,,700,2650,3350,,,0,,,0,,,0,0,1,0,1,,0,0,13,1,14,,0,,Before/Start,Peak,Before/Start,Fair,Medium,No,Rain,Light,Flood,DTDT,Medium,,,
Fannie Left,SFU,21,9,2009,2,400,0,35,35,,,0,760,760,,,0,,,0,,,0,2,4,0,6,,1,0,11,0,12,,0,,Before/Start,Peak,Before/Start,Fair,Medium,No,Rain,Light,Flood,DTDT,Medium,,,
Fannie Left,SFU,21,9,2009,3,600,220,32,252,,,625,740,1365,,,3,,,0,,,0,1,68,0,69,,0,0,4,0,4,,0,,Before/Start,Peak,Before/Start,Fair,Medium,No,Rain,Light,Flood,DTDT,Medium,,,
Fannie Left,SFU,21,9,2009,4,800,60,27,87,,,450,330,780,,,0,,,0,,,0,0,24,0,24,,1,0,1,0,2,,0,,Before/Start,Peak,Before/Start,Fair,Medium,No,Rain,Light,Flood,DTDT,Medium,,,
Fannie Left,SFU,21,9,2009,5,1000,102,0,102,,,300,110,410,,,0,,,0,,,0,0,32,0,32,,0,0,0,0,0,,0,,Before/Start,Peak,Before/Start,Fair,Medium,No,Rain,Light,Flood,DTDT,Medium,,,
Fannie Left,SFU,21,9,2009,6,1200,75,350,425,,,90,115,205,,,0,,,0,,,0,0,18,6,18,,1,0,0,0,1,,0,,Before/Start,Peak,Before/Start,Fair,Medium,No,Rain,Light,Flood,DTDT,Medium,,,
Fannie Left,SFU,21,9,2009,7,1320,0,175,175,,,0,40,40,,,0,,,0,,,0,0,3,0,3,,0,0,0,0,0,,0,,Before/Start,Peak,Before/Start,Fair,Medium,No,Rain,Light,Flood,DTDT,Medium,,,
Fannie Left,SFU,21,9,2009,total,1320,465,686,1151,1300,,2965,10455,13420,16000,,3,10,,0,,,5,0,153,6,164,195,19,14,55,1,89,125,0,,Before/Start,Peak,Before/Start,Fair,Medium,No,Rain,Light,Flood,DTDT,Medium,,,
Ada,SFU,22,9,2009,estuary,0,0,39,39,,,122,120,242,,,0,,,0,,,5,1,56,0,62,,9,0,8,0,17,,0,,Before,Peak,,Excellent,Full,No,None,,Normal,DTDT,High,,,
Ada,SFU,22,9,2009,1,50,50,0,50,,,20,36,56,,,0,,,0,,,3,0,7,0,10,,0,0,0,0,0,,0,,Before,Peak,,Excellent,Full,No,None,,Normal,DTDT,High,,,
Ada,SFU,22,9,2009,2,100,81,0,81,,,39,30,69,,,0,,,0,,,1,2,18,0,21,,0,0,0,0,0,,0,,Before,Peak,,Excellent,Full,No,None,,Normal,DTDT,High,,,
Ada,SFU,22,9,2009,3,150,86,0,86,,,20,26,46,,,0,,,0,,,0,0,16,0,16,,2,1,1,0,4,,0,,Before,Peak,,Excellent,Full,No,None,,Normal,DTDT,High,,,
Ada,SFU,22,9,2009,4,200,95,0,95,,,20,38,58,,,0,,,0,,,0,0,9,0,9,,0,0,1,0,1,,0,,Before,Peak,,Excellent,Full,No,None,,Normal,DTDT,High,,,
Ada,SFU,22,9,2009,5,250,164,0,164,,,30,37,67,,,0,,,0,,,2,0,8,0,10,,0,0,0,0,0,,0,,Before,Peak,,Excellent,Full,No,None,,Normal,DTDT,High,,,
Ada,SFU,22,9,2009,6,300,61,0,61,,,1,0,1,,,0,,,0,,,0,0,2,0,2,,0,0,0,0,0,,0,,Before,Peak,,Excellent,Full,No,None,,Normal,DTDT,High,,,
Ada,SFU,22,9,2009,7,350,69,0,69,,,0,6,6,,,0,,,0,,,5,0,2,0,7,,2,0,0,0,2,,0,,Before,Peak,,Excellent,Full,No,None,,Normal,DTDT,High,,,
Ada,SFU,22,9,2009,total,350,606,39,645,,,252,293,545,550,,0,,,0,,,16,3,118,0,137,,13,1,10,0,24,,0,,Before,Peak,,Excellent,Full,No,None,,Normal,DTDT,High,,,
Hooknose,SFU,23,9,2009,estuary,0,20,50,70,,,200,324,524,,,0,,,0,,,2,2,4,0,8,,6,41,33,0,80,,0,,Peak,Peak,,Good,Medium,No,Rain,Heavy,Normal,DTDT,High,,,
